Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Crime_Code
6222204,10800201,HZ570659,12/30/2016 08:19:00 PM,020XX W DEVON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,False,2412,24.0,50.0,2.0,26,2016,01/06/2017 03:55:08 PM,41.997870519,-87.681679978,7
3491142,10296907,HY485149,11/01/2015 04:30:00 PM,111XX S AVENUE L,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,433,4.0,10.0,52.0,08B,2015,11/08/2015 03:53:19 PM,41.692819875,-87.536488349,2
2590391,8709878,HV386604,07/17/2012 12:05:00 AM,079XX S PAXTON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,414,4.0,7.0,46.0,08A,2012,02/04/2016 06:33:39 AM,41.750973348,-87.571093674,1
2729950,8932624,HV604497,12/16/2012 02:18:00 AM,091XX S COLFAX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,423,4.0,7.0,48.0,08B,2012,02/04/2016 06:33:39 AM,41.729140217,-87.560903614,2
839036,9914923,HY104469,01/02/2015 02:00:00 PM,057XX S LAKE SHORE DR,0870,THEFT,POCKET-PICKING,OTHER,False,False,331,3.0,5.0,41.0,06,2015,08/17/2015 03:03:40 PM,41.791160785,-87.579836586,31
3113354,9565693,HX216699,04/09/2014 11:03:00 AM,058XX S CALUMET AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,True,False,232,2.0,20.0,40.0,26,2014,02/04/2016 06:33:39 AM,41.788533531,-87.617445268,7
3410943,10156893,HY346055,07/18/2015 06:29:00 PM,062XX S TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,823,8.0,15.0,66.0,14,2015,08/17/2015 03:03:40 PM,41.780335164,-87.701955135,6
6164074,10713650,HZ471436,10/10/2016 08:00:00 PM,024XX N AUSTIN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,2512,25.0,29.0,19.0,02,2016,10/17/2016 03:51:16 PM,41.924620732,-87.775743584,5
2421173,8443634,HV121828,01/17/2012 06:55:00 PM,052XX W JACKSON BLVD,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,1522,15.0,29.0,25.0,26,2012,02/04/2016 06:33:39 AM,41.876650547,-87.755587101,7
2892010,9194805,HW339703,06/28/2013 06:00:00 PM,106XX S AVENUE B,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,432,4.0,10.0,52.0,07,2013,02/04/2016 06:33:39 AM,41.701790203,-87.525750734,16
3452188,10229244,HY416568,09/07/2015 09:00:00 PM,007XX N RACINE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,False,False,1215,12.0,27.0,24.0,04A,2015,09/17/2015 11:37:18 AM,41.89467709,-87.657471335,1
2420924,8443295,HV121308,01/17/2012 12:58:00 PM,003XX W GARFIELD BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,934,9.0,3.0,37.0,07,2012,02/04/2016 06:33:39 AM,41.794509508,-87.633301738,16
3151743,9630753,HX281279,05/29/2014 09:45:00 AM,053XX W WINDSOR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,False,False,1623,16.0,45.0,15.0,14,2014,02/04/2016 06:33:39 AM,41.963349729,-87.761202264,6
6181144,10738779,HZ498796,11/01/2016 09:00:00 PM,001XX W 112TH ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,RESIDENCE,True,False,522,5.0,34.0,49.0,18,2016,11/08/2016 03:49:55 PM,41.690732925,-87.626483021,17
3484438,10285647,HY473214,10/23/2015 11:30:00 AM,048XX W HARRISON ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1533,15.0,24.0,25.0,04A,2015,10/30/2015 03:53:31 PM,41.873119908,-87.745551103,1
2589979,8709398,HV386030,07/16/2012 05:25:00 PM,004XX W 57TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,711,7.0,20.0,68.0,08A,2012,02/04/2016 06:33:39 AM,41.790820218,-87.636301139,1
6197145,10762357,HZ526568,11/23/2016 01:06:00 PM,033XX W ROOSEVELT RD,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESTAURANT,False,False,1134,11.0,24.0,29.0,24,2016,11/30/2016 03:49:37 PM,41.866358918,-87.709806763,27
2789754,9029232,HW176830,03/02/2013 07:00:00 AM,104XX S RHODES AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,512,5.0,9.0,49.0,06,2013,02/04/2016 06:33:39 AM,41.7052168,-87.610053615,31
3105017,9550988,HX202749,03/29/2014 02:00:00 AM,012XX S WASHTENAW AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,1023,10.0,28.0,29.0,26,2014,02/04/2016 06:33:39 AM,41.865865208,-87.693389932,24
4028333,10401754,HZ138445,02/02/2016 11:18:00 PM,032XX W 65TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,823,8.0,15.0,66.0,04A,2016,02/10/2016 03:51:16 PM,41.775314877,-87.703778772,1
3352543,10055577,HY244725,05/02/2015 08:00:00 PM,015XX S SACRAMENTO DR,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,False,False,1022,10.0,24.0,29.0,24,2015,08/17/2015 03:03:40 PM,41.860623669,-87.702314951,27
2949747,9286711,HW430393,08/30/2013 01:15:00 PM,089XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,413,4.0,8.0,48.0,06,2013,02/04/2016 06:33:39 AM,41.732730806,-87.585114125,31
